n;q_time;q_c;q_s;q__c/n;q_s/n,m_time;m_c;m_s;m__c/n;m_s/n,i_time;i_c;i_s;i__c/n;i_s/n
5300;0.000514;79251.781250;35519.699219;14.953166;6.701830;0.000747;59000.320312;66008.000000;11.132135;12.454340;0.016039;6989296.500000;5299.000000;1318.735229;0.999811
5400;0.000540;80618.718750;35644.140625;14.929393;6.600767;0.000762;60249.320312;67408.000000;11.157282;12.482963;0.016645;7275525.000000;5399.000000;1347.319458;0.999815
5500;0.000794;83125.742188;36831.699219;15.113770;6.696673;0.000783;61517.140625;68808.000000;11.184935;12.510546;0.017501;7558818.500000;5499.000000;1374.330688;0.999818
5600;0.000551;85306.078125;37910.878906;15.233229;6.769800;0.000784;62778.859375;70208.000000;11.210510;12.537143;0.017552;7835126.000000;5599.000000;1399.129639;0.999821
5700;0.000573;86391.023438;38199.738281;15.156320;6.701709;0.000835;64034.199219;71608.000000;11.234070;12.562807;0.018751;8108295.500000;5699.000000;1422.508057;0.999825
5800;0.000556;89017.820312;39580.640625;15.347900;6.824248;0.000797;65312.398438;73008.000000;11.260758;12.587586;0.018664;8401748.000000;5799.000000;1448.577271;0.999828
5900;0.000576;91061.359375;40080.019531;15.434129;6.793224;0.000829;66564.281250;74408.000000;11.282082;12.611526;0.019654;8700764.000000;5899.000000;1474.705811;0.999830
6000;0.000579;91844.539062;40337.761719;15.307424;6.722960;0.000834;67836.078125;75808.000000;11.306013;12.634666;0.020034;8995667.000000;5999.000000;1499.277710;0.999833
6100;0.000603;94344.960938;40685.601562;15.466387;6.669771;0.000844;69098.703125;77208.000000;11.327656;12.657049;0.020922;9297580.000000;6099.000000;1524.193359;0.999836
6200;0.000609;95794.703125;42144.761719;15.450758;6.797542;0.000856;70385.320312;78608.000000;11.352471;12.678710;0.021316;9606372.000000;6199.000000;1549.414917;0.999839
6300;0.000616;97965.656250;43370.898438;15.550105;6.884270;0.000878;71659.718750;80008.000000;11.374558;12.699682;0.022041;9918548.000000;6299.000000;1574.372681;0.999841
