n;q_time;q_c;q_s;q__c/n;q_s/n,m_time;m_c;m_s;m__c/n;m_s/n,i_time;i_c;i_s;i__c/n;i_s/n;q_dual_time;q_dual_c;q_dual_s;q_dual__c/n;q_dual_s/n
3500;0.000333;48236.859375;22347.019531;13.781960;6.384863;0.000492;36845.898438;41404.000000;10.527400;11.829714;0.089478;3063608.750000;3499.000000;875.316772;0.999714;0.000324;22518.369141;16575.970703;6.433820;4.735991
3600;0.000392;49714.210938;22666.210938;13.809503;6.296169;0.000574;38033.500000;42704.000000;10.564861;11.862223;0.098296;3241596.250000;3599.000000;900.443359;0.999722;0.000369;23166.279297;17241.929688;6.435078;4.789425
3700;0.000349;51424.878906;23611.820312;13.898616;6.381573;0.000509;39231.468750;44004.000000;10.603100;11.892973;0.106024;3417483.000000;3699.000000;923.644043;0.999730;0.000335;24048.919922;17894.349609;6.499708;4.836311
3800;0.000354;52768.421875;24243.419922;13.886426;6.379848;0.000518;40422.441406;45304.000000;10.637485;11.922105;0.114068;3604927.250000;3799.000000;948.665100;0.999737;0.000341;24720.640625;18300.509766;6.505432;4.815924
3900;0.000378;55151.101562;25666.099609;14.141308;6.581051;0.000551;41626.789062;46604.000000;10.673536;11.949743;0.122640;3795195.750000;3899.000000;973.127136;0.999744;0.000358;25592.500000;18934.380859;6.562180;4.854969
4000;0.000375;56870.179688;25895.640625;14.217545;6.473910;0.000546;42827.500000;47904.000000;10.706875;11.976000;0.131526;3993357.750000;3999.000000;998.339417;0.999750;0.000358;26214.400391;19216.789062;6.553600;4.804197
4100;0.000401;58381.921875;26776.839844;14.239492;6.530937;0.000562;44022.789062;49208.000000;10.737266;12.001951;0.140903;4197973.000000;4099.000000;1023.895874;0.999756;0.000374;26983.439453;19856.890625;6.581327;4.843144
4200;0.000388;60105.781250;27242.470703;14.310900;6.486302;0.000568;45265.839844;50608.000000;10.777581;12.049523;0.150728;4403104.500000;4199.000000;1048.358154;0.999762;0.000376;27925.189453;20634.359375;6.648855;4.912943
4300;0.000396;61051.859375;27768.500000;14.198107;6.457791;0.000588;46500.210938;52008.000000;10.814002;12.094884;0.160911;4611611.000000;4299.000000;1072.467651;0.999767;0.000384;28860.320312;21213.619141;6.711702;4.933400
4400;0.000415;63616.351562;28961.759766;14.458261;6.582218;0.000610;47743.191406;53408.000000;10.850725;12.138182;0.171657;4823088.500000;4399.000000;1096.156494;0.999773;0.000396;29509.570312;21525.599609;6.706720;4.892182
4500;0.000421;65006.601562;29472.320312;14.445911;6.549405;0.000620;48983.160156;54808.000000;10.885147;12.179556;0.182853;5062792.500000;4499.000000;1125.064941;0.999778;0.000400;29975.550781;21783.679688;6.661233;4.840818
4600;0.000446;67210.351562;30556.179688;14.610946;6.642648;0.000644;50230.910156;56208.000000;10.919763;12.219131;0.194792;5292364.000000;4599.000000;1150.513916;0.999783;0.000421;30777.230469;22548.259766;6.690702;4.901796
4700;0.000451;68354.617188;31125.250000;14.543536;6.622394;0.000662;51478.449219;57608.000000;10.952862;12.257021;0.207224;5517952.000000;4699.000000;1174.032349;0.999787;0.000434;31785.449219;23188.500000;6.762862;4.933723
4800;0.000455;69836.296875;31294.619141;14.549230;6.519712;0.000665;52726.000000;59008.000000;10.984583;12.293333;0.219957;5750361.500000;4799.000000;1197.991943;0.999792;0.000435;32196.880859;23720.089844;6.707684;4.941685
